**Header1 Sampling Parameters**
TraceFile	C:\Guilherme\Medida 1112_1530_1_cdifusor.dat
Comment	
Date	1/1/2015
Time	04:12:37
File Created By	CDI Spec32.exe
Software Version	1,7,2,2
Username	LAS
Computername	NOTE-CESAR
DeviceNum	0	
SerialNo	SNAB0829	
SetupFile	C:\CDI32\SETUP _63355_FIB2_COMDIF.stp
BoardDegC	45.6988	
ArrayDegC	8.19174	
TECA	0.473633	
ExtV	-5.87592	
DacOffset	93171.9	
IntTime	0.499973	
Processing	none	
CalUnits	uwatts / cm² / nm	
TrigMode	TM_SynchRead	
SampleAvg	1	
Scans Averaged	1	
WaveUnits	nm	
WaveStart	899	
WaveEnd	1703.35	
WaveStep	1	
**HeaderEnd**
1224	18.35353	
1225	18.38072	
1226	18.40791	
1227	18.4351	
1228	18.46229	
1229	18.48948	
1230	18.51667	
1231	18.54708	
1232	18.57769	
1233	18.60829	
1234	18.6389	
1235	18.6695	
1236	18.70011	
1237	18.70528	
1238	18.69292	
1239	18.68056	
1240	18.66821	
1241	18.65585	
1242	18.6435	
1243	18.61905	
1244	18.55698	
1245	18.4949	
1246	18.43282	
1247	18.37074	
1248	18.30866	
1249	18.24659	
1250	18.15181	
1251	18.05316	
1252	17.95451	
1253	17.85586	
1254	17.7572	
1255	17.65855	
1256	17.51758	
1257	17.34155	
1258	17.16552	
1259	16.98949	
1260	16.81347	
1261	16.63744	
1262	16.45676	
1263	16.25749	
1264	16.05821	
1265	15.85894	
1266	15.65967	
1267	15.46039	
1268	15.26112	
1269	15.28406	
1270	15.3447	
1271	15.40534	
1272	15.46598	
1273	15.52662	
1274	15.58727	
1275	15.63176	
1276	15.6608	
1277	15.68984	
1278	15.71887	
1279	15.74791	
1280	15.77695	
1281	15.79525	
1282	15.76035	
1283	15.72546	
1284	15.69056	
1285	15.65566	
1286	15.62077	
1287	15.58587	
1288	15.51232	
1289	15.43063	
1290	15.34893	
1291	15.26724	
1292	15.18555	
1293	15.10386	
1294	14.97676	
1295	14.80143	
1296	14.6261	
1297	14.45078	
1298	14.27545	
1299	14.10012	
1300	13.91674	
1301	13.68587	
1302	13.455	
1303	13.22412	
1304	12.99325	
1305	12.76238	
1306	12.53151	
1307	12.29876	
1308	12.06557	
1309	11.83238	
1310	11.59919	
1311	11.366	
1312	11.13281	
1313	10.92164	
1314	10.73539	
1315	10.54914	
1316	10.36289	
1317	10.17664	
1318	9.990392	
1319	9.802544	
1320	9.604177	
1321	9.405808	
1322	9.20744	
1323	9.009073	
1324	8.810705	
1325	8.612337	
1326	8.282845	
1327	7.91975	
1328	7.556656	
1329	7.193562	
1330	6.830468	
1331	6.467374	
1332	6.204521	
1333	6.058383	
1334	5.912245	
1335	5.766107	
1336	5.619968	
1337	5.47383	
1338	5.315331	
1339	5.072656	
1340	4.829981	
1341	4.587306	
1342	4.344631	
1343	4.101956	
1344	3.859282	
1345	3.51425	
1346	3.142989	
1347	2.771729	
1348	2.400468	
1349	2.029207	
1350	1.657947	
1351	1.402757	
1352	1.281131	
1353	1.159504	
1354	1.037878	
1355	0.9162514	
1356	0.7946249	
1357	0.6858234	
1358	0.6591904	
1359	0.6325575	
1360	0.6059244	
1361	0.5792915	
1362	0.5526584	
1363	0.5260255	
1364	0.5101687	
1365	0.4969053	
1366	0.4836418	
1367	0.4703783	
1368	0.4571149	
1369	0.4438514	
1370	0.432105	
1371	0.4220152	
1372	0.4119253	
1373	0.4018354	
1374	0.3917455	
1375	0.3816557	
1376	0.3722754	
1377	0.3668852	
1378	0.3614949	
1379	0.3561046	
1380	0.3507143	
1381	0.345324	
1382	0.3399337	
1383	0.3336318	
1384	0.3271364	
1385	0.320641	
1386	0.3141457	
1387	0.3076503	
1388	0.3011549	
1389	0.2960473	
1390	0.2923275	
1391	0.2886077	
1392	0.2848879	
1393	0.2811681	
1394	0.2774483	
1395	0.2737359	
1396	0.2700582	
