Comprimento de Onda	IRR REAL 2
301,4908613	0,4955728895
301,7009778	0,4990181141
301,9111108	0,5024636091
302,1212603	0,5059093747
302,3314263	0,5093554109
302,5416088	0,5128017176
302,7518079	0,5162482965
302,9620234	0,5196951443
303,1722555	0,5231422643
303,382504	0,5265896532
303,5927691	0,5300373143
303,8030506	0,5334852442
304,0133487	0,5369334464
304,2236632	0,5403819175
304,4339942	0,5438306591
304,6443416	0,5472796696
304,8547056	0,5507289523
305,065086	0,554178504
305,2754828	0,5576283245
305,4858962	0,5615241788
305,6963259	0,5660665717
305,9067722	0,570609323
306,1172349	0,5751524283
306,327714	0,5796958876
306,5382095	0,5842397009
306,7487215	0,5887838703
306,9592499	0,5933283938
307,1697948	0,5978732735
307,380356	0,602418505
307,5909337	0,6069640927
307,8015278	0,6115100344
308,0121383	0,6160563302
308,2227652	0,6206029799
308,4334086	0,6251499858
308,6440683	0,6296973436
308,8547444	0,6342450554
309,0654369	0,6387931212
309,2761458	0,643341541
309,486871	0,6478903126
309,6976127	0,6524394405
309,9083707	0,6569889202
310,1191451	0,6615387539
310,3299358	0,6660889395
310,5407429	0,6706394791
310,7515664	0,6751903727
310,9624062	0,6797416181
311,1732624	0,6842932176
311,3841349	0,6888451689
311,5950237	0,6933974721
311,8059289	0,6979501293
312,0168504	0,7025031384
312,2277883	0,7070565014
312,4387424	0,7116102142
312,6497129	0,716164281
312,8606998	0,7207187018
313,0717029	0,7252734723
313,2827223	0,7298285946
313,493758	0,7343840688
313,7048101	0,7389398971
313,9158784	0,743496075
314,126963	0,7480526048
314,3380639	0,7526094864
314,5491811	0,7571667199
314,7603146	0,7617243052
314,9714644	0,7662822424
315,1826304	0,7708405293
315,3938127	0,7753991681
315,6050112	0,7799581565
315,816226	0,7845174968
316,0274571	0,789077189
316,2387044	0,7936372309
316,449968	0,7981976246
316,6612478	0,8037225842
316,8725438	0,8095471676
317,0838561	0,8153722003
317,2951846	0,8211976796
317,5065294	0,8270236082
317,7178904	0,8328499834
317,9292675	0,8386768024
318,1406609	0,8445040707
318,3520706	0,8503317883
318,5634964	0,8561599498
318,7749384	0,8619885578
318,9863966	0,8678176124
319,197871	0,8736471135
319,4093616	0,8794770612
319,6208684	0,8853074555
319,8323914	0,8911382964
320,0439305	0,8969695811
320,2554859	0,9028013151
320,4670574	0,9086334929
320,678645	0,9144661145
320,8902488	0,9202991827
321,1018688	0,9261326975
321,313505	0,9319666588
321,5251572	0,9378010612
321,7368257	0,9436359129
321,9485102	0,9494712057
322,1602109	0,955306945
322,3719278	0,961143131
322,5836608	0,9669797607
322,7954099	0,9728168342
323,0071751	0,9786543516
323,2189564	0,9844923127
323,4307539	0,9903307205
